0	0,1,1,1,2,3,3,4,4,5,5,5,4,4,4,5,5,5,4,4,5,6,6,5,5,5,4,7,7,7,8,9,4,5,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,7,7,4,5,5,5,10,10,10,10,10,10,4,5,5,5,4,7,4,11,11,12,12,12,5,5,13,5,5,5,14,14,4,5,5,13,5,5,5,4,4,4,5,15,15,5,5,5,10,10,7,7,7,4,16,4,4,17,4,5,4,18,18,19,19,19,19,19,19,19,19,19,19,19,3,3,5,5,5,4,5,4,7,5,5,5,5,20,7,5,5,5,5,21,5,5,22,22,5,5,5,5,4,4,5,5,4,5,5,5,5,5,23,23,4,7,7,4,4,4,4,5,5,5,5,4,5,5,5,4,5,5,24,24,5,5,5,5,7,7,5,25,25,5,5,26,26,26,4,5,5,5,5,7,5,5,5,5,5,5,5,4,5,5,5,5,5,27,4,4,4,4,4,4,4,4,7,4,4,4,7,7,3,4,4,4,5,28,28,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,20,20,4,7,7,29,29,16,16,5,5,5,5,4,5,5,5,5,5,5,7,7,11,5,5,22,5,5,5,7,5,5,5,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,5,5,5,5,4,4,5,32,18,18,18,33,33,34,34,34,3,5,5,5,6,5,35,5,3,2,2,21,36,21,37,37,36,21,21,21,21,1,21,21,21,21,21,21,21,7,7,7,5,5,4,38,5,5,5,4,4,4,4,7,7,4,4,4,4,5,5,4,7,7,35,5,5,7,7,4,4,5,5,7,9,9,5,5,5,4,39,39,7,7,5,5,4,4,7,11,40,41,41,42,21,42,42,42,41,4,7,4,4,4,4,5,5,7,4,5,5,5,5,5,5,41,41,43,43,43,43,41,41,4,4,38,4,5,5,5,5,44,4,45,5,4,4,4,46,5,5,7,4,47,48,48,48,48,48,48,48,48,48,48,48,38,41,41,42,21,49,21,21,21,49,49,42,42,42,42,42,41,7,7,5,50,50,50,13,5,41,41,42,21,51,51,51,49,21,21,49,42,41,7,7,7,7,5,4,5,5,7,7,7,35,35,4,5,5,5,38,38,7,5,5,52,52,52,52,52,
1	82,83,84,84,84,84,85,83,83,83,82,83,83,83,83,86,82,82,87,83,82,83,83,84,82,84,88,82,82,83,86,86,82,86,86,86,86,82,82,83,86,82,83,83,83,86,82,82,83,82,83,82,82,83,83,83,83,83,83,86,82,84,82,86,86,86,86,89,89,89,89,86,86,86,86,87,82,82,82,84,82,87,83,83,83,86,86,83,86,86,82,82,83,83,83,83,83,83,83,83,83,84,86,86,82,87,83,83,61,83,86,82,84,84,83,86,87,82,82,83,82,82,84,83,82,83,82,83,86,83,83,0,0,82,82,82,82,82,82,82,83,83,82,82,82,83,82,82,82,83,0,82,83,82,83,83,82,86,82,82,83,82,82,82,61,84,82,84,83,83,82,82,83,83,82,82,0,0,0,83,0,82,83,82,82,82,82,84,82,83,83,0,0,82,82,90,61,86,86,82,83,83,83,83,83,82,83,83,91,61,83,82,83,84,82,82,83,82,83,83,82,83,83,0,86,86,82,82,82,88,82,83,83,83,83,82,82,82,83,88,82,82,83,82,82,83,83,83,82,82,0,86,0,84,84,82,82,84,86,82,83,82,83,82,82,82,82,82,84,84,92,92,92,82,82,82,61,61,86,86,86,82,0,82,82,82,82,82,85,82,83,83,82,61,83,82,83,82,83,83,83,83,83,82,83,83,83,82,82,82,82,82,82,93,92,86,83,83,83,86,82,83,82,82,82,82,82,83,83,83,83,83,82,82,82,82,0,82,82,83,82,83,83,83,83,86,86,83,82,83,82,83,82,86,82,82,82,82,82,83,83,82,84,83,82,83,83,82,83,82,83,82,94,95,95,95,95,82,82,83,83,82,83,83,82,83,83,91,91,96,96,83,83,82,83,83,83,83,91,91,91,82,83,82,82,82,82,82,82,82,83,82,83,83,83,82,83,86,83,83,83,82,82,83,83,83,83,86,86,82,86,82,87,83,82,83,82,82,82,83,83,92,92,82,82,83,82,82,83,83,82,82,87,82,82,82,82,92,82,82,83,82,82,82,83,83,83,92,82,82,83,83,83,83,82,82,82,83,83,82,82,82,82,82,82,82,82,82,82,82,82,61,61,86,82,83,83,83,82,82,82,97,97,97,82,83,83,83,83,82,83,83,83,83,83,82,83,83,83,83,83,82,82,82,82,82,82,82,83,83,82,83,83,83,83,83,82,83,83,83,83,86,82,82,83,83,83,86,82,82,82,82,84,83,82,82,82,84,83,83,83,82,82,0,97,82,82,83,82,82,84,83,84,82,82,84,83,83,82,84,82,83,82,82,83,83,83,83,61,61,61,61,61,61,61,61,61,61,61,61,82,82,87,84,82,82,84,83,82,84,83,83,82,82,84,83,84,82,82,84,83,83,82,84,83,88,82,82,61,82,82,82,82,83,82,84,83,82,82,83,82,82,83,83,82,83,83,82,82,97,97,97,97,97,82,83,83,82,83,84,82,83,83,83,82,82,0,83,82,88,82,82,0,84,83,83,83,0,82,83,82,83,83,87,83,82,86,82,82,82,82,82,82,82,82,82,82,83,82,83,82,0,83,82,82,89,89,89,82,89,82,98,99,82,82,2,89,82,83,83,87,82,82,82,83,83,83,82,83,82,82,97,
2	5,5,5,7,7,102,102,5,4,102,4,4,5,5,5,5,46,46,46,4,4,5,4,4,4,103,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,7,7,7,7,4,4,7,4,4,4,5,5,4,7,102,102,46,102,104,105,4,11,5,7,7,7,7,7,7,7,7,11,11,5,28,28,28,7,7,5,5,5,5,5,5,7,7,7,7,106,104,104,55,7,107,108,7,7,7,7,7,7,35,35,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,109,109,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,5,4,7,4,4,4,4,4,4,4,4,110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,104,4,4,4,4,4,4,4,4,4,4,4,4,11,4,4,7,7,4,4,4,4,24,4,4,4,4,4,4,4,4,4,4,4,110,4,4,4,4,110,110,110,110,110,110,110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,55,4,11,4,4,4,79,4,4,7,4,4,4,4,4,4,7,11,11,4,4,55,4,4,4,4,4,4,4,4,5,5,111,111,112,4,4,4,4,4,4,4,4,104,4,4,4,4,4,4,4,113,77,77,4,4,4,4,29,29,29,7,46,11,110,110,110,4,23,4,4,4,
3	122,122,21,21,74,74,96,49,21,51,21,66,21,0,21,21,83,21,83,21,21,21,49,21,21,49,21,21,49,49,21,20,83,0,0,21,21,83,21,83,83,21,38,123,123,38,124,21,21,0,73,38,49,21,49,49,38,49,72,36,72,36,72,72,72,72,72,72,36,72,36,21,21,38,87,125,21,72,38,38,72,36,36,72,72,125,72,72,72,36,84,58,72,83,0,21,36,36,72,72,72,72,36,72,36,72,36,72,36,72,58,36,72,72,72,72,36,72,72,72,36,36,72,72,72,36,72,72,36,72,21,72,38,72,72,36,72,72,65,72,72,83,36,21,36,72,72,21,36,72,72,72,72,21,125,125,125,72,36,36,72,72,36,38,72,72,74,36,72,36,72,72,36,72,36,72,36,72,36,72,72,72,72,72,36,72,21,101,101,49,49,101,101,101,101,101,21,21,21,49,101,49,101,0,
4	5,5,21,21,21,21,128,4,21,21,21,21,21,49,21,21,21,21,21,21,21,21,72,72,21,72,72,72,72,72,72,21,72,72,72,21,72,0,72,72,21,21,21,101,
5	83,89,89,89,83,83,0,83,89,89,89,89,89,89,89,89,89,89,89,89,89,130,89,89,89,89,89,89,89,89,89,89,89,74,74,74,2,2,2,2,131,131,132,132,132,2,89,89,89,89,89,21,21,21,21,89,21,83,88,88,0,83,0,0,0,0,0,0,0,0,0,83,83,0,83,83,83,0,0,83,83,83,0,0,0,0,0,0,83,0,0,83,83,83,83,83,0,83,0,83,0,83,83,83,83,0,83,0,0,0,0,0,0,0,83,0,0,83,0,83,0,0,0,0,83,0,83,0,0,83,83,83,82,82,82,0,83,91,91,133,0,0,83,0,0,0,0,0,0,82,82,82,83,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,134,134,134,97,135,135,0,
6	13,5,5,103,103,103,103,13,13,103,103,103,103,103,103,103,103,103,103,103,103,103,142,142,103,103,103,103,142,142,103,103,103,103,103,103,103,103,103,103,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,144,
7	83,83,83,89,89,89,89,2,2,151,151,89,89,89,89,66,89,89,2,152,153,89,89,83,83,83,83,83,83,83,83,83,82,83,83,0,0,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,61,83,83,83,83,0,85,154,154,154,154,155,85,0,0,83,83,83,83,83,83,83,0,0,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,85,136,120,120,120,120,156,120,120,120,120,120,120,120,120,136,85,83,83,83,83,83,83,0,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,0,83,0,0,0,0,83,83,61,83,83,82,83,157,157,157,83,83,83,83,83,83,120,83,83,83,83,83,83,83,158,158,158,158,83,83,83,83,83,83,83,83,83,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,83,83,61,83,83,83,83,83,83,83,83,83,83,83,83,21,83,36,21,83,21,21,83,83,89,66,83,89,89,89,89,83,83,36,89,159,83,89,89,89,89,89,83,89,89,89,83,89,89,83,66,89,65,89,89,89,160,160,83,83,83,89,21,89,66,89,89,83,2,2,2,161,161,3,20,20,20,20,20,121,20,22,117,117,2,83,89,66,89,89,89,83,83,83,83,83,83,89,83,89,89,83,83,83,83,89,83,89,89,89,3,20,20,52,20,20,89,65,83,83,83,162,162,83,83,89,89,89,83,83,89,89,89,89,89,83,89,83,83,89,89,83,89,89,89,83,89,89,83,83,89,89,89,83,83,89,83,83,89,89,89,83,83,89,89,89,89,89,89,89,89,83,83,21,37,160,21,21,83,21,83,21,83,21,21,21,21,36,89,65,83,2,163,164,21,21,83,83,83,83,89,21,21,21,21,83,89,21,83,83,83,83,164,89,21,37,21,21,21,21,21,89,21,21,21,83,89,21,21,42,21,21,21,21,21,83,21,21,21,21,21,21,21,21,21,21,38,83,83,83,21,21,21,83,21,83,21,73,73,21,83,21,83,83,83,21,49,21,83,83,42,165,38,21,21,83,42,43,158,158,42,21,83,83,21,21,21,83,83,21,21,21,21,38,38,96,96,83,21,83,83,83,21,83,21,21,21,166,166,166,83,83,83,21,83,83,21,38,66,21,83,21,21,66,21,
8	61,49,21,21,21,21,21,21,21,100,21,66,21,21,21,21,21,21,66,21,21,51,21,66,49,21,21,
9	21,21,21,21,21,21,21,21,21,21,21,21,21,1,1,1,21,18,18,18,18,18,18,18,3,3,3,3,176,21,21,2,177,21,21,176,176,176,176,3,20,20,20,3,3,3,176,176,176,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,178,21,37,37,37,21,21,21,21,21,21,21,21,66,21,21,21,21,21,65,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,65,21,65,21,21,66,21,21,21,37,37,37,21,21,21,133,0,179,143,120,180,137,61,154,181,21,21,21,21,21,21,21,21,21,21,21,21,2,182,21,21,183,21,21,21,21,21,21,21,21,21,21,21,73,4,126,4,86,83,5,21,120,21,120,21,56,50,56,50,21,21,21,21,21,21,98,21,21,21,21,21,21,21,5,21,21,21,21,21,21,21,21,21,21,21,21,86,21,91,91,91,21,21,21,21,51,51,51,21,21,21,21,21,21,21,21,100,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,184,184,132,132,21,66,21,21,21,21,21,21,100,21,38,66,21,21,21,21,21,21,66,185,21,21,21,21,21,0,21,21,21,133,21,21,21,58,21,21,21,21,21,21,21,21,66,21,21,21,21,21,21,21,21,21,21,21,21,21,21,176,21,21,21,21,21,21,21,21,21,83,21,21,21,21,21,21,21,21,21,21,61,21,21,21,21,133,21,66,21,21,38,172,21,61,133,21,21,21,21,21,21,21,61,21,21,61,21,21,186,21,21,21,21,133,21,21,21,21,21,21,21,21,21,21,21,73,21,
